gid,village,nbrbati,lat,lon,comm_fkt
"666",Analamarina Nord,"103","-21.044340861455","47.6484936860023",TSARATANANA_ANALAMARINA
"667",NA,"33","-21.105633450968","47.6453511924584",TSARATANANA_ANALAMARINA
"668",Ambalafatakana Est,"54","-21.0576585278658","47.7896321282209",TSARATANANA_AMBALAFATAKANA EST
"669",NA,"38","-21.0499613233902","47.7642564845373",TSARATANANA_AMBALAFATAKANA EST
"670",NA,"45","-21.0695531264627","47.7846283708224",TSARATANANA_AMBALAFATAKANA EST
"671",NA,"28","-21.069589070208","47.7921134456636",TSARATANANA_AMBALAFATAKANA EST
"672",Tsinjorano Est,"25","-21.1425984733407","47.8096167105612",TSARATANANA_AMBALAFARY
"673",NA,"26","-21.1304142255881","47.7770107919968",TSARATANANA_AMBALAFARY
"674",NA,"22","-21.1296029552604","47.8051649835846",TSARATANANA_AMBALAFARY
"675",NA,"23","-21.1141335248531","47.8171181688762",TSARATANANA_AMBALAFARY
"573",NA,"33","-21.0373498527814","47.7231736434205",TSARATANANA_MAROFOTOTRA
"574",NA,"23","-21.0369837024518","47.7309580594265",TSARATANANA_MAROFOTOTRA
"575",Morafeno Marofototra,"30","-21.0692404369788","47.7329060470084",TSARATANANA_MAROFOTOTRA
"576",Marofototra II,"79","-21.0463676619009","47.7015203362806",TSARATANANA_MAROFOTOTRA
"612",NA,"60","-21.1027340736699","47.7650008528938",TSARATANANA_AMBOHIMASINA
"613",NA,"27","-21.0873719969111","47.755258860586",TSARATANANA_AMBOHIMASINA
"614",NA,"40","-21.0877776780175","47.7475838438166",TSARATANANA_AMBOHIMASINA
"615",Ambohimasina,"38","-21.0909039554255","47.7473055331286",TSARATANANA_AMBOHIMASINA
"676",Ambodivoangy Est,"72","-21.1684207254315","47.7571125549376",TSARATANANA_BEFARY
"677",NA,"57","-21.1456053544469","47.7905742534064",TSARATANANA_BEFARY
"678",Ampasimbola I,"38","-21.1807602623264","47.8185579193648",TSARATANANA_BEFARY
"679",Marosava,"49","-21.1828094279015","47.8105022017688",TSARATANANA_BEFARY
"680",Tsiandalovana,"56","-21.2265154107555","47.7403841895172",TSARATANANA_AMBATOHARANANAKELY
"681",Variampo,"57","-21.1979758726664","47.773014871983",TSARATANANA_AMBATOHARANANAKELY
"682",Ambatoharanankely,"75","-21.2339799686167","47.7808042817918",TSARATANANA_AMBATOHARANANAKELY
"683",NA,"31","-21.2008679234971","47.7818264103079",TSARATANANA_AMBATOHARANANAKELY
"684",Ambohipo,"18","-21.1718538828442","47.5928653483902",TSARATANANA_AMBOHIPO
"685",NA,"23","-21.1726822365324","47.5928756445486",TSARATANANA_AMBOHIPO
"686",NA,"23","-21.1724831466498","47.5709878814024",TSARATANANA_AMBOHIPO
"687",NA,"42","-21.171128085041","47.59467389967",TSARATANANA_AMBOHIPO
"688",NA,"24","-20.7701012115516","47.640992671607",AMBOHIMANGA DU SUD_SOANIHERENANA NORD
"689",NA,"34","-20.7834510454825","47.6377025500174",AMBOHIMANGA DU SUD_SOANIHERENANA NORD
"690",Ambalafarihy,"29","-20.779384856934","47.6303056663835",AMBOHIMANGA DU SUD_SOANIHERENANA NORD
"691",Soanierana Avaratra,"121","-20.7929113082818","47.6398306027332",AMBOHIMANGA DU SUD_SOANIHERENANA NORD
"692",Ambalavary,"97","-20.8133270940629","47.6394065876362",AMBOHIMANGA DU SUD_AMBALAVARY
"693",NA,"28","-20.8102300077773","47.6330310593941",AMBOHIMANGA DU SUD_AMBALAVARY
"694",NA,"17","-20.8270166342418","47.6310975304397",AMBOHIMANGA DU SUD_AMBALAVARY
"695",NA,"18","-20.8254291579433","47.6353695159547",AMBOHIMANGA DU SUD_AMBALAVARY
"696",NA,"54","-20.9803755298604","47.4912313394481",AMBOHIMIERA_AMBOHIMAHATSINJO
"697",Varizato,"68","-20.9652737810661","47.5095494621759",AMBOHIMIERA_AMBOHIMAHATSINJO
"698",NA,"20","-20.9583196230287","47.4906548546156",AMBOHIMIERA_AMBOHIMAHATSINJO
"699",Soanierana Ambohimahatsinjo,"23","-20.9739931498878","47.494416261714",AMBOHIMIERA_AMBOHIMAHATSINJO
"700",NA,"59","-20.9623959923419","47.5493824609914",AMBOHIMIERA_FIADANANA NORD
"701",Lavitrony,"38","-20.9572665655233","47.5560387737474",AMBOHIMIERA_FIADANANA NORD
"702",NA,"62","-20.9779932505998","47.5819821064413",AMBOHIMIERA_FIADANANA NORD
"703",Fiadanana Nord,"163","-20.9429314652551","47.5707829927782",AMBOHIMIERA_FIADANANA NORD
"426",Ambodimanga,"153","-20.9616857191262","47.6094000412077",AMBOHIMIERA_AMBODIMANGA
"427",NA,"11","-20.9753649510654","47.5969874515933",AMBOHIMIERA_AMBODIMANGA
"428",NA,"7","-20.9782823753435","47.5930644709227",AMBOHIMIERA_AMBODIMANGA
"429",NA,"6","-20.9628128433239","47.6004706025102",AMBOHIMIERA_AMBODIMANGA
"461",NA,"20","-20.9907305973691","47.5831575254066",AMBOHIMIERA_FALIARIVO
"462",Faliarivo,"24","-21.0007279861189","47.5732916734748",AMBOHIMIERA_FALIARIVO
"463",NA,"17","-21.0079419608499","47.5676367257823",AMBOHIMIERA_FALIARIVO
"464",NA,"36","-20.9981882324529","47.5975825940428",AMBOHIMIERA_FALIARIVO
